Customer_ID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster
78,Female,23,15,78,3
79,Male,59,41,59,4
80,Female,34,101,22,5
81,Male,28,75,96,1
82,Female,31,40,60,4
83,Female,29,80,82,1
84,Female,36,104,82,1
85,Female,23,19,79,3
86,Female,32,61,43,4
87,Female,27,41,47,4
88,Male,37,20,12,0
89,Male,30,137,85,2
90,Female,36,102,85,1
91,Female,20,37,74,3
92,Male,38,56,53,4
93,Male,65,64,53,4
94,Female,31,43,54,4
95,Male,30,26,73,3
96,Female,37,77,76,1
97,Male,27,102,69,1
98,Male,38,68,91,1
99,Female,65,39,35,0
100,Male,36,82,2,5
101,Male,37,19,14,0
102,Female,50,43,30,0
103,Male,63,49,49,4
104,Female,35,57,61,4
105,Male,69,48,53,4
106,Male,64,22,4,0
107,Female,21,58,54,4
108,Male,59,70,12,5
109,Female,30,73,90,1
110,Female,66,48,52,4
111,Male,19,74,10,5
112,Male,57,54,51,4
113,Female,29,75,87,1
114,Male,18,80,6,5
115,Male,19,82,5,5
116,Male,53,33,1,0
117,Female,40,68,59,4
118,Female,31,18,41,0
119,Female,66,36,35,0
120,Male,35,25,60,3
121,Male,19,73,4,5
122,Female,47,49,41,4
123,Female,35,17,99,3
124,Female,30,77,81,1
125,Male,54,36,5,0
126,Female,27,41,47,4
127,Male,44,78,19,5
128,Male,18,49,56,4
129,Female,42,35,16,0
130,Male,47,63,40,4
131,Male,28,85,74,1
132,Male,25,60,57,4
133,Female,49,34,14,0
134,Male,33,114,9,5
135,Female,22,64,40,4
136,Female,51,86,14,5
137,Male,47,72,7,5
138,Male,20,16,40,0
139,Female,32,18,39,0
140,Male,34,74,90,1
141,Male,67,63,62,4
142,Female,44,27,32,0
143,Female,43,73,7,5
144,Male,37,19,11,0
145,Female,49,57,47,4
146,Male,24,38,93,3
147,Male,39,68,91,1
148,Male,59,92,15,5
149,Female,68,45,54,4
150,Male,24,63,53,4
151,Male,33,41,57,4
152,Male,23,60,51,4
153,Male,38,69,77,1
154,Male,43,80,17,5
155,Female,28,76,40,5
156,Male,41,86,12,5
157,Female,40,28,30,0
158,Female,22,34,83,3
159,Female,58,16,17,0
160,Female,29,77,74,1
161,Male,69,49,56,4
162,Female,53,101,25,5
163,Male,49,57,46,4
164,Male,34,28,59,3
165,Male,19,49,57,4
166,Male,31,89,65,1
167,Female,50,40,28,0
168,Male,19,45,56,4
169,Female,41,97,39,5
170,Female,31,73,71,1
171,Male,35,30,61,3
172,Male,35,29,62,3
173,Male,54,65,45,4
174,Female,30,42,63,4
175,Female,45,55,43,4
176,Female,23,28,87,3
177,Female,37,103,83,1
178,Male,59,56,47,4
179,Male,40,71,94,1
180,Male,18,61,41,4
181,Female,37,103,86,1
182,Male,59,71,11,5
183,Male,27,67,59,4
184,Female,46,28,33,0
185,Female,36,103,85,1
186,Male,28,65,56,4
187,Female,19,64,50,4
188,Female,19,15,7,0
189,Male,66,61,57,4
190,Male,33,125,75,2
191,Male,31,137,81,2
192,Female,47,79,17,5
193,Female,44,74,8,5
194,Male,20,44,55,4
195,Male,49,85,23,5
196,Female,48,40,50,4
197,Male,28,87,76,1
198,Male,39,79,85,1
199,Female,27,47,52,4
200,Female,49,66,60,4
201,Female,30,80,74,1
202,Male,25,60,52,4
203,Male,35,93,91,1
204,Female,38,65,42,4
205,Male,18,47,53,4
206,Male,30,98,98,1
207,Male,32,42,62,4
208,Female,34,19,99,3
209,Female,35,34,25,0
210,Male,38,72,76,1
211,Male,48,69,11,5
212,Female,37,64,44,4
213,Female,23,60,42,4
214,Female,38,63,40,4
215,Female,29,97,89,1
216,Male,58,56,52,4
217,Female,54,100,25,5
218,Female,39,63,43,4
219,Male,21,15,83,3
220,Male,38,71,73,1
221,Male,59,44,61,4
222,Female,55,56,59,4
223,Male,59,71,12,5
224,Male,47,80,38,5
225,Female,31,70,76,1
226,Male,38,71,77,1
227,Female,33,41,55,4
228,Male,29,86,75,1
229,Female,29,79,72,1
230,Male,32,126,74,2
231,Female,29,79,73,1
232,Female,68,49,48,4
233,Male,46,96,14,5
234,Female,30,99,89,1
235,Female,39,67,57,4
236,Male,25,76,14,5
237,Female,29,34,75,3
238,Male,31,27,72,3
239,Male,18,47,59,4
240,Female,19,65,51,4
241,Female,26,60,50,4
242,Male,32,127,72,2
243,Male,18,76,11,5
244,Female,31,75,86,1
245,Female,48,61,47,4
246,Male,38,71,90,1
247,Female,53,103,25,5
248,Female,33,49,46,4
249,Male,50,60,50,4
250,Female,19,15,6,0
251,Female,32,75,73,1
252,Female,54,101,25,5
253,Female,32,81,92,1
254,Male,47,77,38,5
255,Female,50,59,46,4
256,Female,48,118,15,5
257,Male,48,77,35,5
258,Female,32,80,74,1
259,Male,24,61,53,4
260,Male,31,137,17,2
261,Male,33,43,60,4
262,Female,56,79,35,5
263,Female,33,84,97,1
264,Male,40,72,96,1
265,Female,36,34,28,0
266,Male,39,54,55,4
267,Male,26,62,57,4
268,Male,59,70,13,5
269,Male,67,22,15,0
270,Female,41,101,40,5
271,Male,26,89,68,1
272,Male,43,77,19,5
273,Male,34,81,1,5
274,Male,25,39,93,3
275,Male,49,60,43,4
276,Female,35,18,4,0
277,Female,31,77,87,1
278,Female,49,57,46,4
279,Female,20,63,54,4
280,Male,53,46,46,4
281,Female,38,63,44,4
282,Male,20,15,80,3
283,Male,60,70,9,5
284,Female,27,41,46,4
285,Female,34,73,73,1
286,Female,45,126,29,2
287,Female,42,32,18,0
288,Female,30,77,74,1
289,Male,64,17,3,0
290,Male,48,61,41,4
291,Male,48,77,35,5
292,Female,27,40,45,4
293,Male,48,69,9,5
294,Female,30,77,75,1
295,Male,39,77,88,1
296,Male,59,44,60,4
297,Female,50,67,56,4
298,Female,56,79,38,5
299,Male,38,77,87,1
300,Female,19,67,50,4
301,Male,60,52,48,4
302,Female,37,63,42,4
303,Male,31,137,82,2
304,Female,31,81,94,1
305,Female,36,84,73,1
306,Male,25,60,57,4
307,Female,46,53,44,4
308,Female,20,62,54,4
309,Male,48,63,40,4
310,Female,45,81,19,5
311,Male,49,60,49,4
312,Male,28,75,99,1
313,Male,41,72,95,1
314,Male,66,62,48,4
315,Male,39,53,55,4
316,Female,38,112,94,1
317,Male,59,42,59,4
318,Male,19,81,7,5
319,Female,42,101,16,5
320,Female,35,86,26,5
321,Female,57,80,35,5
322,Female,68,48,48,4
323,Male,54,33,5,0
324,Male,33,72,90,1
325,Male,36,25,35,0
326,Female,28,39,46,4
327,Female,31,78,73,1
328,Male,40,71,93,1
329,Female,28,72,88,1
330,Male,20,71,4,5
331,Female,48,123,15,5
332,Male,25,78,10,5
333,Male,40,72,95,1
334,Male,52,35,3,0
335,Female,30,88,84,1
336,Female,53,103,23,5
337,Female,18,64,47,4
338,Female,51,68,43,4
339,Male,26,23,72,3
340,Female,30,77,76,1
341,Female,28,34,72,3
342,Male,68,61,41,4
343,Female,49,42,53,4
344,Female,32,97,88,1
345,Female,24,15,96,3
346,Female,44,27,31,0
347,Female,45,28,34,0
348,Male,35,25,36,0
349,Female,22,29,86,3
350,Female,48,62,46,4
351,Male,35,29,61,3
352,Male,66,62,52,4
353,Female,32,103,69,1
354,Female,46,126,28,2
355,Male,70,47,56,4
356,Female,27,40,49,4
357,Male,48,76,36,5
358,Female,23,16,77,3
359,Female,48,34,14,0
360,Female,32,102,69,1
361,Female,29,40,40,4
362,Female,35,19,34,0
363,Male,29,88,78,1
364,Female,29,79,76,1
365,Female,24,41,65,3
366,Female,64,64,43,4
367,Female,21,18,77,3
368,Male,47,62,42,4
369,Male,39,69,93,1
370,Female,43,34,17,0
371,Male,31,24,75,3
372,Male,49,58,50,4
373,Female,25,38,67,3
374,Female,38,95,32,5
375,Female,32,62,43,4
376,Male,50,59,42,4
377,Male,28,101,68,1
378,Female,18,66,50,4
379,Female,35,103,20,5
380,Female,30,79,73,1
381,Female,56,80,36,5
382,Female,44,47,48,4
383,Male,39,71,94,1
384,Male,19,21,67,3
385,Female,53,30,16,0
386,Male,58,46,59,4
387,Male,69,42,46,4
388,Female,43,45,50,4
389,Male,26,63,57,4
390,Male,35,88,91,1
391,Male,29,28,73,3
392,Male,19,65,48,4
393,Female,21,32,72,3
394,Female,52,90,12,5
395,Male,48,56,46,4
396,Male,43,79,19,5
397,Female,39,111,89,1
398,Male,43,71,34,5
399,Female,47,78,17,5
400,Male,38,71,76,1
401,Female,35,21,35,0
402,Male,26,64,55,4
403,Female,57,78,35,5
404,Female,44,74,5,5
405,Male,48,39,36,0
406,Female,30,87,88,1
407,Female,36,36,24,0
408,Male,33,85,62,1
409,Male,28,29,81,3
410,Male,47,61,42,4
411,Female,30,39,44,4
412,Female,42,76,19,5
413,Male,39,79,87,1
414,Female,59,20,16,0
415,Male,53,45,45,4
416,Male,20,72,6,5
417,Female,52,44,50,4
418,Female,22,34,82,3
419,Male,36,87,8,5
420,Female,36,21,99,3
421,Male,63,48,51,4
422,Female,22,19,94,3
423,Female,32,76,85,1
424,Male,31,75,93,1
425,Female,18,65,49,4
426,Female,28,75,39,5
427,Male,19,58,40,4
428,Female,28,58,51,4
429,Male,18,50,61,4
430,Female,21,31,74,3
431,Female,33,103,23,5
432,Male,48,54,46,4
433,Female,49,42,52,4
434,Female,43,77,18,5
435,Male,31,99,97,1
436,Female,67,46,53,4
437,Female,36,106,85,1
438,Female,22,71,28,5
439,Male,34,78,89,1
440,Male,69,46,46,4
441,Male,69,46,44,4
442,Male,48,52,45,4
443,Female,29,40,44,4
444,Male,36,93,89,1
445,Male,32,88,62,1
446,Female,31,48,47,4
447,Male,38,20,12,0
448,Male,59,42,60,4
449,Male,29,102,69,1
450,Female,23,60,39,4
451,Female,23,17,95,3
452,Female,31,41,53,4
453,Male,54,45,46,4
454,Male,55,63,48,4
455,Female,31,17,38,0
456,Male,67,62,60,4
457,Female,36,121,80,2
458,Female,21,19,75,3
459,Male,68,63,42,4
460,Female,19,65,50,4
461,Female,40,59,39,4
462,Female,49,41,55,4
463,Male,47,59,43,4
464,Female,49,45,45,4
465,Female,32,87,96,1
466,Male,33,40,62,4
467,Female,32,75,88,1
468,Female,59,21,16,0
469,Male,20,64,45,4
470,Male,38,70,88,1
471,Female,21,62,43,4
472,Female,30,80,79,1
473,Male,48,77,36,5
474,Male,25,80,13,5
475,Female,50,68,56,4
476,Female,67,45,53,4
477,Male,53,26,31,0
478,Male,18,60,42,4
479,Male,69,44,48,4
480,Male,48,99,17,5
481,Female,50,56,44,4
482,Female,64,63,44,4
483,Male,19,46,54,4
484,Female,46,27,4,0
485,Male,43,72,35,5
486,Female,44,75,9,5
487,Female,34,76,71,1
488,Male,59,71,9,5
489,Male,68,46,44,4
490,Female,38,69,41,4
491,Male,20,15,38,0
492,Male,18,33,89,3
493,Male,24,60,50,4
494,Female,31,67,77,1
495,Female,49,65,60,4
496,Female,28,41,46,4
497,Female,33,58,61,4
498,Female,63,65,44,4
499,Male,58,71,10,5
500,Male,21,17,79,3
501,Female,42,105,16,5
502,Female,33,103,70,1
503,Female,33,102,22,5
504,Male,18,50,57,4
505,Male,23,25,73,3
506,Male,48,60,50,4
507,Female,49,121,17,5
508,Male,26,52,55,4
509,Female,38,78,77,1
510,Female,32,78,87,1
511,Male,58,92,13,5
512,Male,48,53,45,4
513,Female,41,99,37,5
514,Female,40,29,33,0
515,Male,20,49,59,4
516,Female,50,38,53,4
517,Female,40,57,42,4
518,Female,36,104,85,1
519,Female,46,125,29,2
520,Female,33,75,87,1
521,Female,29,85,85,1
522,Female,20,55,58,4
523,Female,37,37,27,0
524,Male,20,61,49,4
525,Male,54,33,6,0
526,Female,23,59,42,4
527,Female,47,24,6,0
528,Female,30,18,71,3
529,Male,19,47,57,4
530,Male,21,61,51,4
531,Male,18,33,89,3
532,Male,34,94,90,1
533,Male,32,71,73,1
534,Male,48,77,35,5
535,Male,29,100,97,1
536,Male,24,59,53,4
537,Male,19,15,38,0
538,Male,20,49,60,4
539,Female,21,16,78,3
540,Male,21,21,79,3
541,Male,30,25,72,3
542,Female,48,54,42,4
543,Male,21,15,84,3
544,Male,40,71,94,1
545,Female,30,78,75,1
546,Female,46,53,42,4
547,Male,39,79,87,1
548,Female,34,76,71,1
549,Male,27,87,70,1
550,Male,19,80,5,5
551,Male,39,68,93,1
552,Male,53,31,4,0
553,Female,56,82,35,5
554,Female,42,102,17,5
555,Male,59,92,17,5
556,Male,40,86,12,5
557,Female,22,61,40,4
558,Female,34,18,98,3
559,Female,42,50,51,4
560,Male,62,46,50,4
561,Female,56,77,37,5
562,Female,33,87,95,1
563,Female,60,50,57,4
564,Male,47,39,37,4
565,Female,32,40,61,4
566,Female,41,29,31,0
567,Female,57,75,5,5
568,Female,35,17,99,3
569,Female,32,58,41,4
570,Female,24,38,64,3
571,Male,37,70,76,1
572,Female,49,33,14,0
573,Male,57,52,48,4
574,Female,49,57,45,4
575,Female,23,18,96,3
576,Male,47,60,49,4
577,Female,39,79,75,1
578,Female,51,58,44,4
579,Female,29,78,82,1
580,Female,18,67,46,4
581,Male,47,62,57,4
582,Male,19,75,5,5
583,Female,35,120,79,2
584,Male,68,44,45,4
585,Male,19,64,48,4
586,Male,60,54,46,4
587,Male,36,77,1,5
588,Female,49,67,57,4
589,Female,31,83,93,1
590,Male,36,25,36,0
591,Female,30,82,94,1
592,Male,32,71,74,1
593,Female,24,60,44,4
594,Male,38,78,86,1
595,Female,31,104,69,1
596,Male,58,87,14,5
597,Male,48,60,45,4
598,Female,22,35,81,3
599,Male,24,61,49,4
600,Male,38,79,89,1
601,Male,43,77,17,5
602,Female,36,102,86,1
603,Female,43,35,16,0
604,Female,35,19,99,3
605,Female,38,63,42,4
606,Male,46,97,14,5
607,Female,59,19,15,0
608,Female,46,26,5,0
609,Male,47,59,43,4
610,Male,49,63,56,4
611,Female,22,28,88,3
612,Female,35,21,33,0
613,Female,37,64,44,4
614,Male,19,46,54,4
615,Female,45,54,45,4
616,Female,18,62,54,4
617,Male,48,53,46,4
618,Female,57,77,6,5
619,Female,54,101,20,5
620,Male,53,23,28,0
621,Male,58,87,16,5
622,Male,20,60,51,4
623,Female,35,73,72,1
624,Female,41,104,14,5
625,Male,48,76,36,5
626,Male,26,51,54,4
627,Male,64,19,4,0
628,Male,33,137,18,2
629,Male,34,27,59,3
630,Male,38,72,96,1
631,Male,34,38,61,4
632,Male,69,56,40,4
633,Male,65,64,53,4
634,Female,31,75,86,1
635,Female,63,64,43,4
636,Male,19,49,58,4
637,Male,48,62,42,4
638,Female,34,73,73,1
639,Female,54,26,12,0
640,Male,35,96,91,1
641,Female,39,70,58,4
642,Female,31,43,53,4
643,Male,44,78,17,5
644,Female,32,77,86,1
645,Female,51,45,48,4
646,Female,36,34,25,0
647,Male,68,63,41,4
648,Female,36,96,30,5
649,Male,24,38,90,3
650,Male,30,100,99,1
651,Male,43,84,18,5
652,Male,32,73,93,1
653,Female,39,66,41,4
654,Female,24,72,35,5
655,Male,19,82,5,5
656,Male,59,56,47,4
657,Male,27,77,97,1
658,Male,26,55,57,4
659,Male,65,20,4,0
660,Female,60,51,57,4
661,Male,29,99,99,1
662,Male,25,76,12,5
663,Female,34,17,7,0
664,Male,36,86,93,1
665,Female,57,75,6,5
666,Female,32,86,94,1
667,Male,31,86,62,1
668,Female,44,74,6,5
669,Male,27,88,70,1
670,Female,43,27,33,0
671,Female,39,67,42,4
672,Female,38,114,91,1
673,Female,31,16,41,0
674,Female,39,29,32,0
675,Male,51,85,26,5
676,Female,36,84,75,1
677,Male,69,54,39,4
678,Female,29,71,88,1
679,Male,68,63,43,4
680,Male,63,46,52,4
681,Male,49,55,48,4
682,Male,25,77,12,5
683,Male,70,48,58,4
684,Female,49,41,28,0
685,Male,39,70,76,1
686,Female,21,32,81,3
687,Female,33,46,46,4
688,Male,35,80,1,5
689,Male,52,25,31,0
690,Female,41,101,17,5
691,Male,54,62,45,4
692,Female,32,97,86,1
693,Male,43,85,19,5
694,Female,66,59,57,4
695,Female,49,58,48,4
696,Male,51,24,29,0
697,Female,34,36,27,0
698,Female,30,70,78,1
699,Female,46,119,16,5
700,Male,36,86,9,5
701,Female,58,73,4,5
702,Female,31,69,78,1
703,Male,68,43,47,4
704,Female,32,78,72,1
705,Male,31,137,82,2
706,Male,69,46,55,4
707,Male,42,71,36,4
708,Male,49,59,55,4
709,Male,42,83,19,5
710,Male,19,15,38,0
711,Male,47,71,10,5
712,Male,18,59,42,4
713,Female,35,102,86,1
714,Female,34,103,24,5
715,Female,38,64,44,4
716,Female,43,79,18,5
717,Male,46,44,42,4
718,Female,56,78,35,5
719,Female,36,85,73,1
720,Female,62,65,43,4
721,Female,31,73,72,1
722,Male,70,46,48,4
723,Female,29,39,59,4
724,Male,35,89,11,5
725,Female,29,76,76,1
726,Male,37,86,12,5
727,Male,70,43,52,4
728,Female,51,40,58,4
729,Female,33,79,23,5
730,Female,48,51,39,4
731,Female,49,65,58,4
732,Female,31,82,95,1
733,Male,48,78,36,5
734,Female,35,21,97,3
735,Female,41,100,39,5
736,Male,28,77,98,1
737,Female,51,41,54,4
738,Female,30,40,42,4
739,Female,23,21,78,3
740,Female,26,77,39,5
741,Male,35,78,1,5
742,Male,20,15,38,0
743,Female,62,67,42,4
744,Male,58,43,59,4
745,Female,49,64,57,4
746,Female,21,17,6,0
747,Female,33,78,88,1
748,Female,41,101,38,5
749,Female,35,20,98,3
750,Female,59,47,56,4
751,Male,22,19,78,3
752,Male,30,136,84,2
753,Female,48,62,47,4
754,Male,40,80,87,1
755,Female,28,77,88,1
756,Female,64,68,44,4
757,Female,22,17,94,3
758,Female,39,66,43,4
759,Male,18,60,41,4
760,Female,31,82,94,1
761,Female,51,59,46,4
762,Female,29,72,87,1
763,Male,31,100,97,1
764,Male,53,45,45,4
765,Male,27,87,66,1
766,Male,34,28,62,3
767,Female,23,61,41,4
768,Female,65,39,34,0
769,Female,31,102,69,1
770,Female,48,78,16,5
771,Female,35,102,25,5
772,Male,26,78,13,5
773,Female,56,78,35,5
774,Male,38,79,2,5
775,Female,57,76,5,5
776,Female,24,38,65,3
777,Female,48,33,16,0
778,Female,31,71,69,1
779,Male,38,55,54,4
780,Female,18,65,47,4
781,Female,45,125,28,2
782,Female,50,40,56,4
783,Female,45,76,18,5
784,Female,39,113,91,1
785,Female,30,20,71,3
786,Male,47,43,43,4
787,Female,23,30,88,3
788,Male,68,63,43,4
789,Female,30,16,41,0
790,Female,51,66,41,4
791,Male,52,32,7,0
792,Female,48,68,58,4
793,Male,63,48,53,4
794,Male,28,76,98,1
795,Male,57,87,15,5
796,Male,67,17,16,0
797,Female,22,53,58,4
798,Male,30,29,82,3
799,Female,68,46,51,4
800,Male,48,53,46,4
801,Female,26,45,51,4
802,Female,44,29,32,0
803,Male,58,88,16,5
804,Female,56,78,36,5
805,Female,28,60,50,4
806,Male,50,65,55,4
807,Male,48,63,42,4
808,Male,58,73,9,5
809,Female,34,76,20,5
810,Female,50,43,46,4
811,Female,22,16,77,3
812,Female,45,127,28,2
813,Female,32,61,42,4
814,Female,25,72,34,5
815,Female,49,61,49,4
816,Female,20,15,6,0
817,Female,37,98,31,5
818,Female,46,26,5,0
819,Female,31,43,57,4
820,Male,49,85,25,5
821,Male,67,54,41,4
822,Male,26,77,12,5
823,Female,20,55,60,4
824,Male,39,55,47,4
825,Male,65,63,48,4
826,Male,19,15,39,0
827,Female,49,42,50,4
828,Male,36,86,8,5
829,Female,24,15,78,3
830,Female,34,104,86,1
831,Male,33,112,7,5
832,Female,39,65,44,4
833,Female,20,30,70,3
834,Male,18,34,90,3
835,Male,18,60,40,4
836,Female,31,61,42,4
837,Female,47,48,41,4
838,Female,37,38,26,0
839,Female,39,79,77,1
840,Female,29,77,85,1
841,Female,33,99,87,1
842,Female,49,68,59,4
843,Female,21,17,6,0
844,Female,40,70,59,4
845,Female,31,41,44,4
846,Female,35,19,99,3
847,Male,35,113,7,5
848,Male,60,44,60,4
849,Female,25,71,35,5
850,Female,52,43,49,4
851,Male,25,76,13,5
852,Female,19,64,54,4
853,Female,51,39,57,4
854,Male,43,78,16,5
855,Female,21,54,55,4
856,Male,32,74,92,1
857,Male,18,45,59,4
858,Male,59,53,45,4
859,Male,58,93,13,5
860,Male,67,63,61,4
861,Female,35,86,76,1
862,Female,31,104,69,1
863,Female,30,33,72,3
864,Female,31,39,44,4
865,Female,27,60,49,4
866,Male,39,54,55,4
867,Female,22,30,88,3
868,Female,23,55,52,4
869,Female,68,61,57,4
870,Male,59,92,15,5
871,Female,34,104,23,5
872,Male,32,45,60,4
873,Female,37,85,76,1
874,Female,23,55,52,4
875,Female,22,28,87,3
876,Female,20,63,42,4
877,Female,49,43,51,4
878,Male,57,53,50,4
879,Female,25,73,34,5
880,Female,40,29,31,0
881,Male,39,72,77,1
882,Male,33,74,74,1
883,Female,28,99,88,1
884,Male,24,77,11,5
885,Female,59,51,57,4
886,Female,35,22,38,0
887,Female,47,53,45,4
888,Male,19,48,57,4
889,Male,18,31,93,3
890,Female,21,18,77,3
891,Female,30,45,57,4
892,Female,38,113,91,1
893,Female,31,70,77,1
894,Male,48,39,37,4
895,Female,18,64,47,4
896,Male,66,63,51,4
897,Male,43,77,18,5
898,Male,45,98,13,5
899,Female,49,53,40,4
900,Female,31,61,43,4
901,Female,49,65,60,4
902,Female,32,75,89,1
903,Female,23,18,95,3
904,Male,40,71,75,1
905,Male,26,64,57,4
906,Male,40,70,74,1
907,Female,29,99,88,1
908,Female,53,27,14,0
909,Female,47,121,17,5
910,Male,23,61,52,4
911,Female,46,121,14,5
912,Female,47,80,16,5
913,Male,48,60,49,4
914,Female,30,80,73,1
915,Male,28,90,68,1
916,Male,70,45,57,4
917,Female,39,66,38,4
918,Female,49,40,53,4
919,Male,49,78,38,5
920,Male,34,22,34,0
921,Female,31,15,40,0
922,Male,18,58,41,4
923,Male,32,85,63,1
924,Male,70,46,55,4
925,Male,25,23,76,3
926,Female,35,76,22,5
927,Female,32,48,46,4
928,Male,19,15,38,0
929,Female,25,70,34,5
930,Female,35,18,96,3
931,Female,50,58,47,4
932,Female,24,39,64,3
933,Male,19,33,93,3
934,Male,59,90,16,5
935,Male,40,57,49,4
936,Female,49,39,29,0
937,Female,46,76,17,5
938,Female,60,50,50,4
939,Male,30,28,82,3
940,Female,51,40,58,4
941,Male,27,68,56,4
942,Male,48,46,41,4
943,Female,40,58,39,4
944,Female,67,62,50,4
945,Female,67,49,53,4
946,Female,27,39,47,4
947,Male,70,47,58,4
948,Male,55,55,50,4
949,Male,29,30,83,3
950,Female,18,36,80,3
951,Male,18,15,42,0
952,Female,23,16,92,3
953,Female,38,63,45,4
954,Male,47,64,42,4
955,Male,35,91,87,1
956,Female,51,41,57,4
957,Male,43,68,35,4
958,Male,49,41,40,4
959,Female,24,21,78,3
960,Male,35,28,62,3
961,Male,41,54,49,4
962,Male,38,70,76,1
963,Male,67,60,43,4
964,Female,38,79,77,1
965,Female,24,20,76,3
966,Female,53,99,25,5
967,Male,47,43,40,4
968,Female,18,66,47,4
969,Female,36,18,6,0
970,Female,20,16,6,0
971,Male,65,63,53,4
972,Male,43,77,15,5
973,Female,66,63,51,4
974,Male,20,22,65,3
975,Female,29,35,70,3
976,Female,18,66,46,4
977,Male,38,19,13,0
978,Female,32,104,70,1
979,Female,50,68,43,4
980,Male,35,27,59,3
981,Female,36,36,25,0
982,Female,40,100,37,5
983,Female,35,23,35,0
984,Male,49,52,46,4
985,Female,31,72,78,1
986,Female,31,41,59,4
987,Female,53,28,13,0
988,Male,25,77,15,5
989,Female,58,21,16,0
990,Female,54,27,14,0
991,Female,69,48,47,4
992,Male,33,71,74,1
993,Female,44,46,52,4
994,Male,69,66,42,4
995,Male,28,77,96,1
996,Male,65,63,52,4
997,Male,66,63,52,4
998,Male,18,32,93,3
999,Male,65,63,54,4
1000,Female,24,18,93,3
1001,Female,33,86,95,1
1002,Female,37,63,43,4
1003,Male,67,55,42,4
1004,Male,24,38,91,3
1005,Female,36,88,26,5
1006,Female,23,63,40,4
1007,Female,22,17,78,3
1008,Male,35,93,89,1
1009,Male,30,30,82,3
1010,Female,54,46,60,4
1011,Female,53,99,23,5
1012,Female,30,99,88,1
1013,Female,27,45,49,4
1014,Male,67,62,43,4
1015,Male,31,127,74,2
1016,Male,26,67,56,4
1017,Male,53,31,3,0
1018,Female,37,100,32,5
1019,Male,34,76,90,1
1020,Male,35,24,37,0
1021,Male,32,124,75,2
1022,Female,32,48,45,4
1023,Female,19,62,53,4
1024,Female,23,17,76,3
1025,Female,39,60,40,4
1026,Male,59,56,47,4
1027,Female,34,102,85,1
1028,Male,19,44,59,3
1029,Female,40,60,39,4
1030,Female,33,60,44,4
1031,Male,40,76,88,1
1032,Female,50,42,42,4
1033,Female,44,72,7,5
1034,Male,47,73,10,5
1035,Male,60,31,5,0
1036,Female,20,37,75,3
1037,Female,22,34,81,3
1038,Male,39,75,87,1
1039,Female,23,16,77,3
1040,Male,18,49,58,4
1041,Male,58,54,46,4
1042,Female,24,15,78,3
1043,Female,23,54,52,4
1044,Female,31,72,73,1
1045,Female,48,65,60,4
1046,Female,37,65,41,4
1047,Female,40,60,39,4
1048,Male,59,94,13,5
1049,Male,18,48,58,4
1050,Female,41,100,39,5
1051,Female,37,115,92,1
1052,Female,23,53,50,4
1053,Female,29,71,87,1
1054,Male,31,28,82,3
1055,Male,58,93,16,5
1056,Male,37,89,8,5
1057,Female,31,38,60,4
1058,Female,25,72,35,5
1059,Female,32,49,49,4
1060,Female,38,78,77,1
1061,Female,49,65,60,4
1062,Female,69,48,47,4
1063,Male,52,24,27,0
1064,Female,36,25,97,3
1065,Female,38,64,41,4
1066,Female,35,73,72,1
